letter,term,url,kiezen
B,Bueno,https://studentenwoordenboek.nl/woord/bueno/,
B,Burger,https://studentenwoordenboek.nl/woord/burger/,
B,Burgerrups,https://studentenwoordenboek.nl/woord/burgerrups/,
B,Bv,https://studentenwoordenboek.nl/woord/bv/,
B,Bvo(tje),https://studentenwoordenboek.nl/woord/bvo/,
B,BYOB,https://studentenwoordenboek.nl/woord/byob/,
C,Cappu,https://studentenwoordenboek.nl/woord/cappu/,
C,Chlam,https://studentenwoordenboek.nl/woord/chlam/,
C,Commissie,https://studentenwoordenboek.nl/woord/commissie/,
C,Condo,https://studentenwoordenboek.nl/woord/condo/,
C,Connie,https://studentenwoordenboek.nl/woord/connie/,
C,Constitutieborrel,https://studentenwoordenboek.nl/woord/constitutieborrel/,
C,Corps,https://studentenwoordenboek.nl/woord/corps/,
C,Cursist,https://studentenwoordenboek.nl/woord/cursist/,
C,Cursus,https://studentenwoordenboek.nl/woord/cursus/,
D,Dapri,https://studentenwoordenboek.nl/woord/dapri/,
D,Das,https://studentenwoordenboek.nl/woord/das/,
D,Datediner,https://studentenwoordenboek.nl/woord/datediner/,
D,Despo,https://studentenwoordenboek.nl/woord/despo/,
D,Deur verdienen,https://studentenwoordenboek.nl/woord/deur-verdienen/,
D,Dibs,https://studentenwoordenboek.nl/woord/dibs/,
D,Dichtgetikt,https://studentenwoordenboek.nl/woord/dichtgetikt/,
D,Dies,https://studentenwoordenboek.nl/woord/dies/,
D,Dispuut,https://studentenwoordenboek.nl/woord/dispuut/,
D,Doorhalen,https://studentenwoordenboek.nl/woord/doorhalen/,
D,Driesecondenregel,https://studentenwoordenboek.nl/woord/driesecondenregel/,
D,Dubbel gemengd,https://studentenwoordenboek.nl/woord/dubbel-gemengd/,
D,Duft,https://studentenwoordenboek.nl/woord/duft/,
D,DUO,https://studentenwoordenboek.nl/woord/duo/,
E,EL CID,https://studentenwoordenboek.nl/woord/el-cid/,
E,Esca,https://studentenwoordenboek.nl/woord/esca/,
E,Escaleren,https://studentenwoordenboek.nl/woord/escaleren/,
E,Esma,https://studentenwoordenboek.nl/woord/esma/,
E,Eventuela,https://studentenwoordenboek.nl/woord/eventuela/,
E,Exclu,https://studentenwoordenboek.nl/woord/exclu/,
E,Exclusief,https://studentenwoordenboek.nl/woord/exclusief/,
E,Extern,https://studentenwoordenboek.nl/woord/extern/,
F,Feut,https://studentenwoordenboek.nl/woord/feut/,
F,Flaneren,https://studentenwoordenboek.nl/woord/flaneren/,
F,FOMO,https://studentenwoordenboek.nl/woord/fomo/,
F,Fuif,https://studentenwoordenboek.nl/woord/fuif/,
F,Fusie,https://studentenwoordenboek.nl/woord/fusie/,
F,FWB,https://studentenwoordenboek.nl/woord/fwb/,
G,Galaplicht,https://studentenwoordenboek.nl/woord/galaplicht/,
G,Gefeli,https://studentenwoordenboek.nl/woord/gefeli/,
G,Geru,https://studentenwoordenboek.nl/woord/geru/,
G,Gezel,https://studentenwoordenboek.nl/woord/gezel/,
G,GinTo,https://studentenwoordenboek.nl/woord/ginto/,
G,Gk,https://studentenwoordenboek.nl/woord/gk/,
G,Goos,https://studentenwoordenboek.nl/woord/goos/,
G,Gozer,https://studentenwoordenboek.nl/woord/gozer/,
G,Gr,https://studentenwoordenboek.nl/woord/gr/,
G,Grondpannenkoek,https://studentenwoordenboek.nl/woord/grondpannenkoek/,
G,Grondpizza,https://studentenwoordenboek.nl/woord/grondpizza/,
G,Guac,https://studentenwoordenboek.nl/woord/guac/,
H,Haasje,https://studentenwoordenboek.nl/woord/haasje/,
H,Halve leo,https://studentenwoordenboek.nl/woord/halve-leo/,
H,Her,https://studentenwoordenboek.nl/woord/her/,
H,Hertje,https://studentenwoordenboek.nl/woord/hertje/,
H,Hg,https://studentenwoordenboek.nl/woord/hg/,
H,Hila,https://studentenwoordenboek.nl/woord/hila/,
H,HJ,https://studentenwoordenboek.nl/woord/hj/,
H,Honk,https://studentenwoordenboek.nl/woord/honk/,
H,Hospi,https://studentenwoordenboek.nl/woord/hospi/,
H,Hospiteren,https://studentenwoordenboek.nl/woord/hospiteren/,
H,Houdini,https://studentenwoordenboek.nl/woord/houdini/,
H,Huig hockeyen,https://studentenwoordenboek.nl/woord/huig-hockeyen/,
H,Huisjongste,https://studentenwoordenboek.nl/woord/huisjongste/,
H,Huispanda,https://studentenwoordenboek.nl/woord/huispanda/,
H,Huisparasiet,https://studentenwoordenboek.nl/woord/huisparasiet/,
H,Hv,https://studentenwoordenboek.nl/woord/hv/,
I,Ibu,https://studentenwoordenboek.nl/woord/ibu/,
I,Icen,https://studentenwoordenboek.nl/woord/icen/,
I,Ijskast,https://studentenwoordenboek.nl/woord/ijskast/,
I,Inauguratie,https://studentenwoordenboek.nl/woord/inauguratie/,
I,Indikken,https://studentenwoordenboek.nl/woord/indikken/,
I,Indrinken,https://studentenwoordenboek.nl/woord/indrinken/,
I,Influ,https://studentenwoordenboek.nl/woord/influ/,
I,Inkakken,https://studentenwoordenboek.nl/woord/inkakken/,
I,Instemmen,https://studentenwoordenboek.nl/woord/instemmen/,
I,Internacho,https://studentenwoordenboek.nl/woord/internacho/,
I,Introductieweek,https://studentenwoordenboek.nl/woord/introductieweek/,
J,Jaarclub,https://studentenwoordenboek.nl/woord/jaarclub/,
J,Jasje dasje,https://studentenwoordenboek.nl/woord/jasje-dasje/,
J,Jc,https://studentenwoordenboek.nl/woord/jc/,
J,Jägerbomb,https://studentenwoordenboek.nl/woord/jagerbomb/,
K,Kaasschaaf,https://studentenwoordenboek.nl/woord/kaasschaaf/,
K,Kantelen,https://studentenwoordenboek.nl/woord/kantelen/,
K,Kapstokhertje,https://studentenwoordenboek.nl/woord/kapstokhertje/,
K,Kater,https://studentenwoordenboek.nl/woord/kater/,
K,Kmt,https://studentenwoordenboek.nl/woord/kmt/,
K,Knor,https://studentenwoordenboek.nl/woord/knor/,
K,Kompaan,https://studentenwoordenboek.nl/woord/kompaan/,
K,Kot,https://studentenwoordenboek.nl/woord/kot/,
K,Krokant,https://studentenwoordenboek.nl/woord/krokant/,
K,Kruipafstand,https://studentenwoordenboek.nl/woord/kruipafstand/,
K,Kwarrel,https://studentenwoordenboek.nl/woord/kwarrel/,
L,Labo,https://studentenwoordenboek.nl/woord/labo/,
L,Leenstelsel,https://studentenwoordenboek.nl/woord/leenstelsel/,
L,Loca,https://studentenwoordenboek.nl/woord/loca/,
L,Louter,https://studentenwoordenboek.nl/woord/louter/,
L,Ludiek,https://studentenwoordenboek.nl/woord/ludiek/,
L,Lullepot,https://studentenwoordenboek.nl/woord/lullepot/,
L,Lustrum,https://studentenwoordenboek.nl/woord/lustrum/,
M,M,https://studentenwoordenboek.nl/woord/m/,
M,Maat,https://studentenwoordenboek.nl/woord/maat/,
M,Matras,https://studentenwoordenboek.nl/woord/matras/,
M,MC,https://studentenwoordenboek.nl/woord/mc/,
M,Mdm,https://studentenwoordenboek.nl/woord/mdm/,
M,Medium,https://studentenwoordenboek.nl/woord/medium/,
M,Meter (bier),https://studentenwoordenboek.nl/woord/meter-bier/,
M,Miemelen,https://studentenwoordenboek.nl/woord/miemelen/,
M,Mores,https://studentenwoordenboek.nl/woord/mores/,
N,Nakkie,https://studentenwoordenboek.nl/woord/nakkie/,
N,Nominaal lopen,https://studentenwoordenboek.nl/woord/nominaal-lopen/,
N,Normi,https://studentenwoordenboek.nl/woord/normi/,
N,Nul,https://studentenwoordenboek.nl/woord/nul/,
O,One-Night Stand,https://studentenwoordenboek.nl/woord/one-night-stand/,
O,Ontgroening,https://studentenwoordenboek.nl/woord/ontgroening/,
P,P,https://studentenwoordenboek.nl/woord/p/,
P,Pabo,https://studentenwoordenboek.nl/woord/pabo/,
P,Paklijst,https://studentenwoordenboek.nl/woord/paklijst/,
P,Pandapunten,https://studentenwoordenboek.nl/woord/pandapunten/,
P,Para,https://studentenwoordenboek.nl/woord/para/,
P,Pauper,https://studentenwoordenboek.nl/woord/pauper/,
P,Pechgeneratie,https://studentenwoordenboek.nl/woord/pechgeneratie/,
P,Pint,https://studentenwoordenboek.nl/woord/pint/,
P,Pinten harken,https://studentenwoordenboek.nl/woord/pinten-harken/,
P,Plafonddienst,https://studentenwoordenboek.nl/woord/plafonddienst/,
P,Praeses,https://studentenwoordenboek.nl/woord/praeses/,
P,Prela,https://studentenwoordenboek.nl/woord/prela/,
P,Proleet,https://studentenwoordenboek.nl/woord/proleet/,
P,Promi,https://studentenwoordenboek.nl/woord/promi/,
P,Prominent,https://studentenwoordenboek.nl/woord/prominent/,
P,Propedeuse,https://studentenwoordenboek.nl/woord/propedeuse/,
Q,Quaestor / Quaestrix,https://studentenwoordenboek.nl/woord/quaestor-quaestrix/,
R,Rattentaxi,https://studentenwoordenboek.nl/woord/rattentaxi/,
R,Regelen,https://studentenwoordenboek.nl/woord/regelen/,
R,Regenjas,https://studentenwoordenboek.nl/woord/regenjas/,
R,Rela,https://studentenwoordenboek.nl/woord/rela/,
R,Reparadler,https://studentenwoordenboek.nl/woord/reparadler/,
R,Reünist,https://studentenwoordenboek.nl/woord/reunist/,
R,Riet,https://studentenwoordenboek.nl/woord/riet/,
R,Rietadt,https://studentenwoordenboek.nl/woord/rietadt/,
R,Rietbak,https://studentenwoordenboek.nl/woord/rietbak/,
S,Safedate,https://studentenwoordenboek.nl/woord/safedate/,
S,Scharrel,https://studentenwoordenboek.nl/woord/scharrel/,
S,Semester,https://studentenwoordenboek.nl/woord/semester/,
S,Sensa,https://studentenwoordenboek.nl/woord/sensa/,
S,Sg,https://studentenwoordenboek.nl/woord/sg/,
S,Sharken,https://studentenwoordenboek.nl/woord/sharken/,
S,Sjaars,https://studentenwoordenboek.nl/woord/sjaars/,
S,Skeer,https://studentenwoordenboek.nl/woord/skeer/,
S,Smoel(en),https://studentenwoordenboek.nl/woord/smoelen/,
S,Sociëteit,https://studentenwoordenboek.nl/woord/societeit/,
S,Soos,https://studentenwoordenboek.nl/woord/soos/,
S,Spa goud,https://studentenwoordenboek.nl/woord/spa-goud/,
S,Spannie,https://studentenwoordenboek.nl/woord/spannie/,
S,Spiegelen,https://studentenwoordenboek.nl/woord/spiegelen/,
S,Spijtknor,https://studentenwoordenboek.nl/woord/spijtknor/,
S,Spoorknor,https://studentenwoordenboek.nl/woord/spoorknor/,
S,Stiften,https://studentenwoordenboek.nl/woord/stiften/,
S,Strepen,https://studentenwoordenboek.nl/woord/strepen/,
S,Student,https://studentenwoordenboek.nl/woord/student/,
S,Studentenhuis,https://studentenwoordenboek.nl/woord/studentenhuis/,
S,Studentenreisproduct,https://studentenwoordenboek.nl/woord/studentenreisproduct/,
S,Studententien,https://studentenwoordenboek.nl/woord/studententien/,
S,Studentenvereniging,https://studentenwoordenboek.nl/woord/studentenvereniging/,
S,Studentikoos,https://studentenwoordenboek.nl/woord/studentikoos/,
S,Studievereniging,https://studentenwoordenboek.nl/woord/studievereniging/,
S,Stufi,https://studentenwoordenboek.nl/woord/stufi/,
S,Stuko,https://studentenwoordenboek.nl/woord/stuko/,
S,"Super, de",https://studentenwoordenboek.nl/woord/super/,
S,Sws,https://studentenwoordenboek.nl/woord/sws/,
T,Tea,https://studentenwoordenboek.nl/woord/tea/,
T,Tellie,https://studentenwoordenboek.nl/woord/tellie/,
T,Tenta,https://studentenwoordenboek.nl/woord/tenta/,
T,Thth,https://studentenwoordenboek.nl/woord/thth/,
T,Thuis,https://studentenwoordenboek.nl/woord/thuis/,
T,Thuisthuis,https://studentenwoordenboek.nl/woord/thuisthuis/,
T,Tijgerpunten,https://studentenwoordenboek.nl/woord/tijgerpunten/,
T,Tjak,https://studentenwoordenboek.nl/woord/tjak/,
T,TMI,https://studentenwoordenboek.nl/woord/tmi/,
T,Toko,https://studentenwoordenboek.nl/woord/toko/,
T,Tranqi,https://studentenwoordenboek.nl/woord/tranqi/,
T,Tranquilo,https://studentenwoordenboek.nl/woord/tranquilo/,
T,Trekken,https://studentenwoordenboek.nl/woord/trekken/,
T,Turflijst,https://studentenwoordenboek.nl/woord/turflijst/,
U,Ub,https://studentenwoordenboek.nl/woord/ub/,
U,Uf,https://studentenwoordenboek.nl/woord/uf/,
V,Vanaaf,https://studentenwoordenboek.nl/woord/vanaaf/,
V,Vestjeslikker,https://studentenwoordenboek.nl/woord/vestjeslikker/,
V,Veto,https://studentenwoordenboek.nl/woord/veto/,
V,Vino,https://studentenwoordenboek.nl/woord/vino/,
V,Vo,https://studentenwoordenboek.nl/woord/vo/,
V,Vozen,https://studentenwoordenboek.nl/woord/vozen/,
V,Vrijmibo,https://studentenwoordenboek.nl/woord/vrijmibo/,
V,Vvv&#8217;tje,https://studentenwoordenboek.nl/woord/vvv/,
W,Wegtikken,https://studentenwoordenboek.nl/woord/wegtikken/,
W,Wingman,https://studentenwoordenboek.nl/woord/wingman/,
X,X,https://studentenwoordenboek.nl/woord/x/,
Z,Zeester,https://studentenwoordenboek.nl/woord/zeester/,
N,Nekken,https://dub.uu.nl/nl/achtergrond/het-studentikoze-woordenboek-van-aanduwen-tot-ufje-en-zeester,
D,Droog staan,https://dub.uu.nl/nl/achtergrond/het-studentikoze-woordenboek-van-aanduwen-tot-ufje-en-zeester,
H,Herstelbiertje,https://dub.uu.nl/nl/achtergrond/het-studentikoze-woordenboek-van-aanduwen-tot-ufje-en-zeester,
M,Mattie,https://asatalent.nl/blog/item/het-grote-studentenwoordenboek,
L,Lapswans,https://asatalent.nl/blog/item/het-grote-studentenwoordenboek,
T,Tetteren,https://dub.uu.nl/nl/achtergrond/het-studentikoze-woordenboek-van-aanduwen-tot-ufje-en-zeester,
B,Bsa,https://studentenwoordenboek.nl/woord/bsa/,
I,Italiaans afscheid,https://studentenwoordenboek.nl/woord/italiaans-afscheid/,
